범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,9573,1901,218,139,46,18371,1729,0,0,0,2,69,4276,2112,29513,278,3425,24212,10792
장물,276,37,0,1,10,686,68,0,0,0,0,0,62,26,291,5,536,755,378
사기,17620,2161,1252,174,342,22789,2501,4,0,0,5,29,256,616,4830,170,4558,50748,115067
횡령,1597,119,89,17,54,4204,374,1,0,0,1,9,490,201,3687,10,951,8390,16121
배임,193,9,3,0,10,812,22,1,0,0,0,0,3,19,58,0,161,1784,6994
손괴,18,4,1,2,1,296,12,4,0,0,8,1869,118,8,15290,821,1087,9768,6178
살인,6,0,1,0,1,14,0,1,0,0,7,76,0,0,357,44,4,260,215
강도,218,73,11,0,1,283,20,1,0,0,1,2,5,17,264,16,9,400,176
방화,2,0,2,0,0,18,0,0,0,0,4,90,73,2,466,113,16,330,147
성폭력,37,19,1,2,12,698,37,3,0,0,5,99,3785,1069,9908,119,843,9867,6333
폭행,41,19,3,5,17,238,46,23,0,2,33,13076,113,35,68922,1615,1689,34887,108235
상해,22,12,3,8,12,159,30,13,1,0,50,3571,79,20,40603,862,841,20301,7528
협박,7,4,5,0,5,119,4,23,0,3,67,1605,22,14,5628,284,518,3992,5163
공갈,368,258,30,9,7,869,96,0,0,0,6,19,49,42,729,33,81,1408,1523
약취와유인,9,4,0,0,0,21,1,0,0,0,0,21,3,9,46,0,7,75,103
체포와감금,15,2,5,0,3,101,23,2,0,0,1,149,9,4,589,29,31,682,1126
"폭력행위등(손괴,강요,주거침입등)",56,2,0,2,0,186,35,0,0,0,0,34,102,7,659,32,88,935,849
"폭력행위등(단체등의구성,활동)",0,0,0,4,0,7,2,0,0,0,0,1,11,18,104,1,3,376,91
통화,16,4,0,0,5,54,0,0,0,0,0,0,2,2,5,0,0,52,423
유가증권·인지·우표,22,1,3,0,0,28,1,0,0,0,0,0,0,0,4,0,4,99,244
문서,407,21,9,11,11,1154,120,2,0,0,0,8,536,89,357,14,574,4472,10184
인장,12,0,0,0,0,31,5,0,0,0,0,0,2,2,25,0,57,244,223
직무유기,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,19,121,1914
직권남용,0,0,0,0,0,8,0,2,0,0,0,0,1,0,3,0,16,134,2011
수뢰,22,1,0,0,13,220,9,0,0,0,0,0,2,14,16,0,35,308,617
증뢰,5,0,0,0,0,102,3,0,0,0,0,0,3,26,8,0,9,151,359
도박과복표,310,272,282,13,19,3408,8556,0,0,0,0,2,989,194,1481,12,307,5942,2131
신앙,3,0,0,0,0,12,0,0,0,0,0,0,0,0,26,1,20,115,349
기타음란행위,1,0,0,0,1,59,3,0,0,0,0,4,198,59,797,40,114,989,232
과실치사상,0,0,0,0,0,5,0,0,0,0,0,13,0,0,258,1,794,453,1142
업무상과실치사상,3,0,0,0,0,5,0,0,0,0,0,0,3,0,143,2,2537,1110,1638
실화,1,0,0,0,0,2,0,0,0,0,0,3,22,0,104,5,1383,432,125
명예,14,1,1,3,2,135,16,8,0,0,0,99,68,5,4435,500,930,8995,17299
권리행사방해,517,10,24,3,9,807,67,0,0,0,0,15,19,12,172,10,286,3002,8303
신용업무경매,78,7,2,3,5,609,36,7,0,0,6,42,50,28,10067,774,578,8836,8181
주거침입,49,3,1,1,1,211,11,1,0,2,3,123,267,44,3093,166,455,3764,2850
비밀침해,0,0,0,0,0,1,0,0,0,0,0,3,2,0,2,0,2,21,86
유기,1,0,0,0,1,0,0,0,0,0,0,9,1,0,45,1,20,82,87
교통방해,1,0,0,0,0,53,0,0,0,0,0,0,1,2,141,52,157,668,660
공무방해,42,1,1,0,2,256,10,0,0,0,10,43,20,18,7105,527,332,5166,1273
도주와범인은닉,12,1,0,0,0,19,2,0,0,0,0,0,2,1,106,1,89,353,394
위증과증거인멸,4,0,0,0,0,58,2,1,0,2,1,2,0,12,24,0,32,563,3722
무고,11,0,0,1,1,82,0,14,0,1,11,14,0,2,79,16,36,843,5864
