범죄분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
자본시장과금융투자업에관한법률,49,32,40,26,34,27,31,23,18,25,24,47
저작권법,1120,914,961,874,866,798,771,723,752,812,856,837
전자금융거래법,774,461,840,753,654,634,807,764,624,619,724,664
전파법,75,50,47,58,37,62,61,64,59,50,47,37
정보통신망이용촉진및정보보호등에관한법률,1111,1110,1278,1185,1276,1241,1454,1542,1316,1172,1232,988
조세범처벌법,598,151,224,173,170,248,457,165,196,200,170,292
주민등록법,226,202,262,242,211,155,173,148,136,145,127,184
주차장법,31,11,27,17,12,21,24,28,13,26,14,16
주택법,89,28,27,70,37,55,31,35,75,45,55,39
직업안정법,50,36,32,35,29,30,23,21,25,22,34,54
집회및시위에관한법률,12,10,21,22,31,18,13,11,9,14,24,7
청소년보호법,614,540,583,561,705,776,732,694,784,736,726,900
총포·도검·화약류등의안전관리에관한법률,36,38,20,26,62,16,22,25,13,46,20,25
최저임금법,64,81,77,72,89,72,67,73,69,45,66,46
축산물위생관리법,86,54,51,39,27,39,50,49,75,22,47,33
출입국관리법,228,180,234,270,242,226,215,196,229,235,213,165
통신비밀보호법,24,19,16,28,18,17,18,28,24,8,12,25
특가법(도주차량),407,390,415,474,233,147,57,46,50,75,159,380
특허법,24,10,13,25,20,19,12,25,9,9,16,19
폐기물관리법,208,101,147,159,161,125,157,128,129,158,161,142
풍속영업의규제에관한법률,16,21,16,24,12,11,18,9,7,11,5,6
하천법,14,7,17,12,15,39,40,26,12,10,18,9
학교보건법,0,0,3,0,0,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,45,59,65,42,47,30,49,39,36,37,33,30
화물자동차운수사업법,184,186,147,198,301,257,207,165,211,192,196,149
화재로인한재해보상과보험가입에관한법률,2,1,0,1,0,0,2,0,0,0,1,2
화재예방·소방시설설치유지및안전관리에관한법률,40,38,38,30,34,28,36,31,31,37,22,24
화학물질관리법,72,19,32,28,45,43,44,39,37,48,32,39
기타특별법,4849,3624,4889,4513,4554,4763,4696,4989,4473,4755,4323,3965
