범죄분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
근로자퇴직급여보장법,1315,854,1255,1252,1126,1066,1163,1099,1101,1109,1090,1036
낚시관리및육성법,426,21,46,75,77,41,50,102,24,22,28,245
노동조합및노동관계조정법,67,53,52,62,62,52,47,51,45,51,48,41
농수산물유통및가격안정에관한법률,8,2,4,4,4,10,1,0,5,3,0,0
농수산물의원산지표시에관한법률,443,119,194,253,253,239,325,298,299,211,157,58
농지법,123,37,89,54,45,61,54,60,47,54,59,63
대기환경보전법,265,227,283,327,225,188,183,148,127,299,230,131
대부업등의등록및금융이용자보호에관한법률,123,98,130,159,160,155,180,135,99,155,105,104
도로교통법,847,1034,1238,1308,1505,1288,1249,1300,1428,1497,1199,911
도로교통법(무면허운전),1328,1698,2223,2306,2539,2408,2139,2232,1868,1978,1475,1394
도로교통법(사고후미조치),963,880,1099,1110,1096,972,955,984,931,1086,1070,1074
도로교통법(음주운전),7060,7071,8735,9262,10124,9528,8305,9203,9469,10100,9738,8830
도로교통법(음주측정거부),177,179,247,193,274,251,209,224,235,255,233,214
도로법,164,130,179,176,178,149,213,196,169,206,202,169
도시및주거환경정비법,44,53,43,35,46,34,45,38,41,46,32,56
독점규제및공정거래에관한법률,10,4,5,6,6,1,7,1,1,6,1,3
디자인보호법,31,12,58,23,33,23,32,20,14,27,11,19
마약류관리에관한법률(대마),108,166,288,141,117,101,104,118,81,136,101,105
마약류관리에관한법률(마약),16,19,70,154,781,298,25,23,10,24,12,5
마약류관리에관한법률(향정),576,641,793,628,498,424,436,463,463,461,465,441
물환경보전법,50,45,82,101,62,65,59,65,62,86,73,39
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,18,2,7,10,4,0,0,0,11,40,34,23
범죄수익은닉의규제및처벌등에관한법률,48,23,26,26,32,22,26,30,25,17,24,12
변호사법,66,58,51,49,53,47,42,37,29,45,48,35
병역법,274,191,392,783,916,809,662,398,602,510,482,312
보조금관리에관한법률,193,46,66,83,79,79,126,126,94,79,117,68
부동산실권리자명의등기에관한법률,45,34,30,26,29,47,38,25,34,37,36,36
부정경쟁방지및영업비밀보호에관한법률,57,34,57,41,55,45,51,43,44,43,45,45
부정수표단속법,162,138,167,167,115,97,134,102,96,146,99,180
사행행위등규제및처벌특례법,33,30,22,14,20,25,18,16,25,26,16,16
산림자원의조성및관리에관한법률,74,76,85,85,65,43,35,40,132,88,58,56
산업안전보건법,390,302,547,566,915,636,951,541,661,881,738,561
산지관리법,260,144,275,287,221,206,164,155,167,196,206,150
상표법,443,252,331,397,401,309,309,245,243,326,332,240
석유및석유대체연료사업법,118,111,67,68,50,124,160,121,127,180,149,61
선박안전법,102,91,133,113,110,82,61,83,58,125,77,75
선박직원법,105,119,312,155,151,115,437,122,165,169,204,148
성매매알선등행위의처벌에관한법률,387,571,639,608,568,441,390,368,324,282,324,339
수도법,10,6,22,15,10,21,4,15,7,10,5,3
수산업법,235,213,260,776,413,335,427,296,271,291,247,170
수산자원관리법,163,129,143,138,153,99,76,111,905,91,108,119
식품위생법,685,427,562,658,634,635,698,672,598,747,589,575
신용정보의이용및보호에관한법률,5,5,4,6,1,2,2,1,4,1,1,5
아동·청소년의성보호에관한법률(성매수등),26,41,32,27,22,26,31,28,29,15,20,22
아동·청소년의성보호에관한법률(음란물등),36,48,79,79,103,70,102,103,33,35,34,26
아동복지법,322,282,530,521,560,585,545,503,498,405,360,333
액화석유가스의안전관리및사업법,10,4,7,3,8,8,4,12,9,14,9,9
약사법,102,85,135,73,106,66,78,57,88,95,72,67
여객자동차운수사업법,215,131,76,71,212,95,60,38,82,74,56,97
여신전문금융업법,248,152,161,150,204,185,201,221,173,184,198,192
영유아보육법,17,8,32,18,11,16,13,18,17,18,13,14
예비군법,136,98,716,686,357,510,601,291,556,806,1254,464
옥외광고물등의관리와옥외광고산업진흥에관한법률,21,11,20,16,16,23,18,10,14,24,17,27
외국환거래법,69,39,61,55,58,78,72,50,50,79,65,71
위험물안전관리법,32,29,21,58,59,31,42,57,54,52,32,31
유사수신행위의규제에관한법률,183,111,93,87,118,90,72,70,69,103,91,116
의료기기법,38,16,23,29,28,21,25,20,13,28,27,24
의료법,313,198,305,288,282,302,332,401,337,307,274,254
자동차관리법,1408,1431,1843,2166,2396,2156,2028,1979,1705,2018,1584,1479
자동차손해배상보장법,1801,1634,2177,2209,2375,2075,1959,1999,1977,2089,1776,1670
자본시장과금융투자업에관한법률,32,37,31,26,24,24,35,31,23,23,37,16
저작권법,845,550,597,694,671,600,733,701,596,736,659,758
전자금융거래법,912,538,775,738,724,666,721,764,602,735,740,733
전파법,79,87,120,186,699,48,342,38,46,54,144,87
정보통신망이용촉진및정보보호등에관한법률,1316,1240,1396,1301,1285,1331,1332,1363,1164,1248,1257,1226
조세범처벌법,594,159,173,191,174,253,439,163,164,168,193,327
주민등록법,206,129,137,148,142,134,135,148,138,169,145,139
주차장법,33,10,13,12,7,11,5,12,22,14,3,13
주택법,51,25,54,63,154,57,45,28,35,50,50,50
직업안정법,23,37,31,27,24,21,48,21,27,26,33,25
집회및시위에관한법률,18,7,16,23,40,21,19,21,13,22,12,13
청소년보호법,540,625,544,513,694,632,751,715,718,830,742,761
총포·도검·화약류등의안전관리에관한법률,31,27,29,28,70,23,20,26,18,61,21,17
최저임금법,94,59,79,75,84,63,82,74,71,62,65,76
축산물위생관리법,88,20,38,36,45,34,38,76,38,25,28,29
출입국관리법,348,244,446,411,433,352,423,342,315,372,312,308
통신비밀보호법,11,22,29,19,25,30,24,26,20,12,32,18
특가법(도주차량),37,31,42,31,28,30,33,30,33,40,35,35
특허법,30,14,22,18,26,33,14,10,12,12,21,16
폐기물관리법,183,126,178,189,186,158,170,158,149,157,147,144
풍속영업의규제에관한법률,6,10,14,8,17,7,2,3,5,5,2,8
하천법,14,5,13,12,16,24,74,52,18,15,11,12
학교보건법,0,0,1,6,0,0,0,0,1,0,1,0
학원의설립운영및과외교습에관한법률,45,34,40,37,37,41,29,28,29,34,23,32
화물자동차운수사업법,192,143,184,164,189,206,282,213,168,204,202,158
화재로인한재해보상과보험가입에관한법률,1,0,1,2,3,1,0,1,2,1,0,1
화재예방·소방시설설치유지및안전관리에관한법률,47,34,36,45,56,40,43,52,42,39,36,43
화학물질관리법,94,40,77,51,49,47,47,47,38,72,44,32
기타특별법,5736,4366,5166,5189,5620,4794,4899,4906,4771,6275,5282,4653
