범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,8280,1190,156,85,36,15176,1730,0,0,0,1,29,1440,1254,29734,185,3127,17864,18018
장물,168,10,2,1,1,395,48,0,0,0,0,0,6,14,171,1,285,348,361
사기,20571,1899,1407,140,341,25032,3723,6,1,0,2,28,291,608,5987,136,6019,50724,125743
횡령,1473,108,76,14,47,3812,485,0,0,0,1,8,250,205,4562,20,1123,7409,18204
배임,176,5,7,2,8,635,45,0,0,0,0,0,3,14,62,1,214,1609,7377
손괴,11,2,2,1,2,268,28,2,0,0,15,1732,57,10,17534,625,934,7823,7281
살인,2,1,0,0,2,11,0,0,1,0,3,69,0,2,374,50,1,212,367
강도,217,64,12,0,0,177,22,1,0,0,2,2,5,13,241,11,4,207,342
방화,2,0,0,0,0,22,0,0,0,0,4,69,23,2,631,109,18,295,193
성폭력,42,9,1,1,11,814,64,3,0,0,2,84,2683,978,11034,84,755,8546,7747
폭행,31,13,0,1,9,252,48,21,1,2,27,11724,73,18,74270,1186,1271,26479,105943
상해,12,7,2,3,10,135,33,18,1,0,17,3103,25,8,38752,641,602,13423,8418
협박,10,5,1,0,1,110,4,35,0,1,53,1695,27,15,6974,219,389,3246,6556
공갈,305,160,8,8,1,698,98,2,0,0,1,5,13,37,569,21,37,1065,2369
약취와유인,6,4,1,0,0,23,2,0,0,0,0,12,3,6,44,0,1,74,92
체포와감금,30,14,0,0,1,117,4,1,0,0,3,87,3,5,625,18,30,475,1082
"폭력행위등(손괴,강요,주거침입등)",46,0,0,0,0,147,12,0,0,0,0,31,45,0,670,49,89,634,1103
"폭력행위등(단체등의구성,활동)",1,0,0,0,0,20,0,0,1,0,0,0,14,52,132,3,7,478,262
통화,16,10,0,0,0,28,2,0,0,0,0,0,2,0,1,0,0,24,221
유가증권·인지·우표,4,1,0,0,0,21,0,0,0,0,0,0,1,0,1,0,2,56,256
문서,320,11,8,6,15,948,257,0,0,0,0,6,178,63,357,7,653,3669,11216
인장,5,0,0,0,1,23,3,0,0,0,0,2,1,0,29,0,57,155,213
직무유기,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,18,77,2664
직권남용,3,0,0,0,0,4,1,0,0,0,2,0,1,0,13,0,19,167,3788
수뢰,10,3,1,0,4,131,8,0,0,0,0,1,2,6,18,0,125,347,633
증뢰,4,0,0,0,1,67,3,0,0,0,0,0,1,0,27,0,2,105,256
도박과복표,335,187,117,15,10,2524,7348,0,0,0,0,1,427,216,1369,10,343,4769,1855
신앙,0,0,0,0,0,16,1,0,0,0,0,0,0,0,63,9,20,218,640
기타음란행위,3,0,0,0,1,55,0,0,0,0,0,2,114,45,798,16,77,673,283
과실치사상,0,0,0,0,0,0,1,0,0,0,0,18,0,0,294,5,907,414,1245
업무상과실치사상,2,0,0,0,0,13,0,0,0,0,0,0,0,0,168,0,2505,1082,1818
실화,0,0,0,0,0,2,0,0,0,0,0,3,7,0,97,5,1333,381,188
명예,19,1,0,1,7,127,16,5,1,0,6,81,58,1,5629,361,892,7826,20280
권리행사방해,518,3,23,9,5,710,82,0,0,0,0,12,4,9,202,14,336,2627,10043
신용업무경매,83,7,0,9,4,425,35,6,0,0,10,40,15,14,11208,575,467,7755,9934
주거침입,81,4,23,1,3,207,16,2,1,1,3,151,154,41,4077,153,511,3634,3711
비밀침해,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,0,5,26,72
유기,0,0,0,0,3,0,0,0,0,0,0,13,0,0,41,0,27,57,102
교통방해,1,0,0,0,1,47,1,0,0,0,0,0,0,0,221,44,196,522,657
공무방해,19,9,3,0,0,151,18,0,0,0,3,34,9,10,6901,401,213,3963,1479
도주와범인은닉,1,0,0,0,0,11,0,0,0,0,0,0,1,4,75,0,67,241,292
