범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
위증과증거인멸,3,0,0,0,2,41,6,0,0,7,0,0,1,2,16,2,40,465,3529
무고,8,0,0,0,2,67,3,15,0,1,9,11,1,1,98,21,47,855,6312
공안을해하는죄,41,0,0,0,0,20,7,0,0,0,0,0,0,7,3,0,2,29,230
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,17
일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,6
기타,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,1,5,26,46
가정폭력범죄의처벌등에관한특례법,1,0,0,0,0,3,0,0,0,0,0,117,1,0,63,5,18,69,40
가축분뇨의관리및이용에관한법률,35,0,0,0,0,34,0,0,0,0,0,0,0,1,12,1,226,324,373
감염병의예방및관리에관한법률,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,41,126,19
개발제한구역의지정및관리에관한특별조치법,62,0,0,0,0,193,2,0,0,0,0,0,0,0,15,18,180,665,339
개인정보보호법,31,1,1,0,0,66,3,0,0,0,0,2,9,0,46,4,176,425,1590
건강기능식품에관한법률,26,0,0,0,1,25,2,0,0,0,0,0,0,0,3,0,81,124,172
건설기계관리법,24,0,0,0,0,102,4,0,0,0,0,0,0,0,9,0,138,235,133
건설산업기본법,210,0,0,1,3,523,42,0,0,0,0,0,1,10,16,0,184,1491,644
건축법,70,0,0,0,6,373,9,0,0,0,0,0,3,8,53,9,1165,2468,1071
게임산업진흥에관한법률,1038,13,6,1,14,959,490,0,0,0,0,0,10,7,53,3,925,2767,1463
결혼중개업의관리에관한법률,8,0,0,0,2,37,4,0,0,0,0,0,0,0,2,0,15,49,47
경범죄처벌법,26,0,0,0,2,68,6,1,0,0,1,20,16,2,2836,299,227,2192,880
고용보험법,299,1,0,0,0,351,25,0,0,0,1,1,0,2,28,1,136,568,1572
공유수면관리및매립에관한법률,21,0,0,0,0,13,1,0,0,0,0,0,1,0,1,1,51,166,30
공유재산및물품관리법,3,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,9,37,24
공인중개사법,53,0,0,0,8,174,19,0,0,0,0,0,0,4,20,0,178,716,737
공중위생관리법,172,0,0,0,1,132,6,0,0,0,0,0,0,0,15,0,237,671,608
공직선거법,6,0,0,0,1,119,8,0,0,0,0,2,8,6,172,31,348,1293,1319
관세법,81,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,4,34,913
교통사고처리특례법,10,6,0,0,0,92,36,0,0,0,0,3,57,36,2551,5,51171,22660,120347
국가기술자격법,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,8,88,40
국가보안법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,44
국민체육진흥법,37,1,1,0,0,71,91,0,0,0,0,0,26,1,3,0,8,73,69
국토의계획및이용에관한법률,24,0,0,0,2,87,6,0,0,0,0,0,0,6,13,1,368,737,350
근로기준법,6,0,0,0,11,465,0,4,0,0,6,1,0,0,18,0,41,3703,36380
근로자퇴직급여보장법,3,0,0,0,2,99,1,1,0,0,0,0,0,0,8,0,11,896,8317
낚시관리및육성법,34,0,0,0,1,10,2,0,0,0,0,0,0,0,1,0,58,106,13
노동조합및노동관계조정법,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,140,1325
농수산물유통및가격안정에관한법률,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,23,11
농수산물의원산지표시에관한법률,69,0,0,1,148,232,2,0,0,0,0,0,0,2,2,0,268,138,2146
농지법,66,0,0,0,2,57,6,0,0,0,0,0,0,3,12,5,153,432,540
대기환경보전법,46,0,0,0,1,94,0,0,0,0,0,0,3,3,7,0,466,610,1394
대부업등의등록및금융이용자보호에관한법률,379,9,0,2,3,455,68,0,0,0,0,0,0,4,32,0,40,1021,426
도로교통법,117,1,0,1,0,64,28,0,0,0,1,1,53,33,988,11,4692,4906,3587
도로교통법(무면허운전),46,1,0,1,1,77,29,0,0,0,0,2,411,97,2477,5,9431,10367,2730
도로교통법(사고후미조치),2,0,0,0,0,23,5,0,0,0,0,3,18,17,645,0,4017,2547,4624
도로교통법(음주운전),2,0,0,0,1,338,123,0,0,0,1,74,46,493,17158,26,59608,61776,2367
도로교통법(음주측정거부),0,0,0,0,0,8,1,0,0,0,0,5,0,7,399,9,1093,1290,101
도로법,42,0,0,0,1,83,3,0,0,0,0,0,0,2,75,7,578,894,651
도시및주거환경정비법,17,0,0,0,0,52,1,0,0,0,0,0,0,0,2,0,37,528,557
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113
디자인보호법,5,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,6,51,262
마약류관리에관한법률(대마),10,0,0,0,0,32,16,0,0,0,0,1,146,122,93,7,46,332,384
마약류관리에관한법률(마약),3,0,0,0,1,17,0,0,0,0,0,0,43,27,67,1,453,624,113
마약류관리에관한법률(향정),108,9,1,2,3,251,52,0,0,0,1,11,410,1074,511,102,214,2129,1587
물환경보전법,21,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,159,216,464
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,59,0,0,0,0,51,2,0,0,0,0,0,0,0,3,0,3,94,21
범죄수익은닉의규제및처벌등에관한법률,0,1,3,0,5,19,4,0,0,0,0,0,0,0,1,0,2,37,337
변호사법,24,0,0,0,1,79,8,0,0,0,0,0,0,0,15,0,4,158,619
병역법,81,0,0,0,0,63,5,0,0,0,0,12,2,3,136,31,2100,3820,417
보조금관리에관한법률,25,0,0,0,0,183,3,0,0,0,0,0,0,5,13,0,71,282,155
부동산실권리자명의등기에관한법률,3,0,0,0,2,98,14,0,0,0,0,0,0,1,4,0,59,311,550
부정경쟁방지및영업비밀보호에관한법률,11,0,0,0,2,141,6,0,0,0,0,0,0,5,11,0,35,258,659
부정수표단속법,32,0,0,0,0,91,8,0,0,0,0,0,0,1,8,0,44,335,558
사행행위등규제및처벌특례법,89,0,0,0,0,63,67,0,0,0,0,0,0,1,3,0,7,122,60
산림자원의조성및관리에관한법률,14,0,0,0,1,90,0,0,0,0,0,1,6,1,26,1,89,159,382
산업안전보건법,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,2,273,572,6573
산지관리법,14,0,0,0,8,130,0,0,0,0,0,0,1,0,10,0,372,496,1575
상표법,557,2,2,1,2,340,19,0,0,0,0,0,1,6,23,1,255,825,1625
석유및석유대체연료사업법,69,0,0,0,0,117,38,0,0,0,0,0,0,2,23,0,146,351,325
선박안전법,1,0,0,0,0,6,0,0,0,0,0,0,1,0,6,0,80,120,29
선박직원법,3,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,60,102,4
성매매알선등행위의처벌에관한법률,2950,28,3,1,25,1978,241,1,0,0,0,4,826,435,649,6,312,5421,2247
수도법,3,0,0,0,0,6,0,0,0,0,0,0,2,0,5,0,31,102,22
수산업법,353,0,0,0,0,139,14,0,0,0,0,0,0,0,5,0,115,412,335
수산자원관리법,293,0,0,0,1,194,15,0,0,0,0,0,8,0,17,0,89,289,362
식품위생법,1045,0,0,0,9,694,82,0,0,0,0,0,4,13,68,1,970,2843,2612
신용정보의이용및보호에관한법률,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,80,22
"아동,청소년의성보호에관한법률(성매수등)",46,32,0,1,0,73,22,0,0,0,0,0,40,35,52,0,5,187,178
"아동,청소년의성보호에관한법률(음란물등)",39,8,0,0,0,63,4,0,0,0,0,0,374,38,32,0,57,174,120
아동복지법,11,0,0,0,0,13,5,0,0,0,1,862,29,17,1612,55,322,1258,997
액화석유가스의안전관리및사업법,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,44,25
약사법,63,0,0,0,3,106,4,0,0,0,0,0,0,0,19,0,186,474,413
여객자동차운수사업법,137,0,0,0,2,206,5,0,0,0,0,0,1,1,3,0,55,417,286
여신전문금융업법,99,9,2,1,1,294,24,0,0,0,0,1,16,5,250,0,102,561,630
영유아보육법,19,0,0,0,0,116,3,0,0,0,0,0,0,0,2,0,34,166,78
예비군법,79,0,0,0,4,64,8,0,0,0,0,7,2,0,133,33,2091,3997,315
옥외광고물등의관리와옥외광고산업진흥에관한법률,34,3,0,0,0,36,3,0,0,0,0,0,0,0,2,0,40,192,58
외국환거래법,52,0,0,0,0,58,5,0,0,0,0,0,0,1,7,0,8,77,932
위험물안전관리법,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,41,56,373
유사수신행위의규제에관한법률,168,0,1,3,2,333,23,0,0,0,0,0,0,5,10,0,12,554,1021
의료기기법,26,0,0,0,5,35,4,0,0,0,0,0,1,0,5,0,86,245,260
의료법,630,0,1,0,19,1067,49,0,0,0,0,0,3,14,380,2,528,2421,1558
자동차관리법,368,0,0,24,15,774,63,0,0,0,0,1,130,25,576,9,3618,8437,8311
자동차손해배상보장법,28,0,0,0,1,136,3,0,0,0,1,0,11,14,345,3,2549,3312,20259
자본시장과금융투자업에관한법률,21,6,0,1,0,38,36,0,0,0,0,0,0,0,2,0,9,94,587
저작권법,129,1,0,1,2,355,31,0,0,0,0,0,71,3,106,4,680,1474,6743
전자금융거래법,3623,38,9,4,15,4325,324,0,0,0,0,0,8,164,252,2,2784,8665,3356
전파법,32,0,0,0,0,122,0,0,0,0,0,0,1,0,1,0,99,45,393
정보통신망이용촉진및정보보호등에관한법률,449,15,2,3,7,786,58,3,0,0,3,58,273,110,1356,173,324,3347,7949
조세범처벌법,121,1,0,1,4,404,39,1,0,0,0,0,3,17,25,1,155,1054,2734
주민등록법,16,0,0,0,4,95,32,0,0,0,0,4,106,26,141,1,152,638,943
주차장법,8,0,0,0,2,21,0,0,0,0,0,0,0,0,2,0,53,158,95
주택법,250,0,0,0,309,1139,8,0,0,0,0,0,0,3,3,0,118,445,387
직업안정법,108,1,0,0,0,96,18,0,0,0,0,0,0,2,13,0,24,228,124
집회및시위에관한법률,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,37,3,154,155
청소년보호법,209,3,0,11,3,344,19,0,0,0,0,0,54,24,188,0,3648,3613,2311
"총포,도검,화약류등의안전관리에관한법률",15,0,0,1,0,18,4,0,0,0,0,0,20,0,16,1,89,188,79
최저임금법,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,56,419
축산물위생관리법,56,0,0,0,0,76,1,0,0,0,0,0,0,0,4,0,93,149,263
출입국관리법,431,0,0,0,21,507,75,0,0,0,0,0,5,12,91,5,464,1347,717
통신비밀보호법,19,0,0,0,1,27,2,0,0,0,0,12,4,0,9,0,13,96,178
특가법(도주차량),1,0,0,0,0,6,1,0,0,0,0,0,3,10,248,0,1351,850,959
특허법,2,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,3,28,326
폐기물관리법,49,0,0,0,0,153,4,0,0,0,0,0,0,7,15,1,292,600,863
풍속영업의규제에관한법률,35,0,0,0,0,29,1,0,0,0,0,0,0,0,7,0,14,109,40
하천법,16,0,0,0,0,27,1,0,0,0,0,0,0,4,1,0,32,147,53
학교보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
학원의설립운영및과외교습에관한법률,39,0,0,0,0,43,1,0,0,0,0,0,0,1,6,0,135,287,49
화물자동차운수사업법,517,1,0,0,3,375,13,0,0,0,0,0,0,1,36,1,372,1572,487
화재로인한재해보상과보험가입에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"화재예방,소방시설설치유지및안전관리에관한법률",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,53,388
화학물질관리법,2,0,0,0,0,4,2,0,0,0,0,4,45,44,57,11,14,123,277
기타특별법,2717,17,8,8,49,3863,406,20,1,2,10,73,165,164,2674,83,11580,18129,12900
